time_step  time  K  U  H  kT  p  msd 
3120 6.240000 313.330984 -1098.611811 -785.280827 0.819166 1.696168 1.815982
3130 6.260000 307.089267 -1092.134059 -785.044792 0.802848 1.799779 1.824368
3140 6.280000 301.479763 -1086.100099 -784.620335 0.788182 1.887819 1.833324
3150 6.300000 305.112017 -1089.252233 -784.140216 0.797678 1.844884 1.841846
3160 6.320000 310.996061 -1094.838944 -783.842883 0.813062 1.761257 1.849448
3170 6.340000 314.288227 -1097.935839 -783.647612 0.821669 1.702724 1.856177
3180 6.360000 321.204926 -1104.842161 -783.637235 0.839751 1.593729 1.862349
3190 6.380000 325.808228 -1109.604697 -783.796469 0.851786 1.504519 1.868790
3200 6.400000 334.067845 -1118.239332 -784.171487 0.873380 1.360359 1.876388
3210 6.420000 341.977484 -1126.826815 -784.849330 0.894059 1.216041 1.885733
3220 6.440000 343.768242 -1129.500949 -785.732707 0.898741 1.154602 1.896766
3230 6.460000 337.782798 -1124.312524 -786.529727 0.883092 1.200015 1.908745
3240 6.480000 331.112185 -1118.198114 -787.085929 0.865653 1.261533 1.920933
3250 6.500000 329.424134 -1116.890817 -787.466682 0.861240 1.267459 1.933050
3260 6.520000 334.348552 -1122.284803 -787.936252 0.874114 1.202522 1.945305
3270 6.540000 329.486376 -1117.930822 -788.444446 0.861402 1.273911 1.957863
3280 6.560000 317.434767 -1106.066819 -788.632052 0.829895 1.447801 1.970600
3290 6.580000 309.198707 -1097.683194 -788.484487 0.808363 1.570000 1.983389
3300 6.600000 306.790830 -1094.949432 -788.158602 0.802068 1.598346 1.996244
3310 6.620000 311.214509 -1099.067972 -787.853463 0.813633 1.516037 2.009299
3320 6.640000 323.304286 -1111.093098 -787.788812 0.845240 1.323195 2.022849
3330 6.660000 337.816913 -1126.027882 -788.210970 0.883181 1.110099 2.037313
3340 6.680000 338.002679 -1126.949418 -788.946740 0.883667 1.110897 2.052877
3350 6.700000 324.555836 -1113.965640 -789.409804 0.848512 1.317145 2.069014
3360 6.720000 316.556907 -1106.028572 -789.471665 0.827600 1.459181 2.084425
3370 6.740000 319.086770 -1108.528514 -789.441744 0.834214 1.442109 2.098025
3380 6.760000 327.880258 -1117.475186 -789.594928 0.857203 1.316126 2.109743
3390 6.780000 335.373503 -1125.445198 -790.071695 0.876793 1.196238 2.120485
